location,temperature,charging_sessions_last_30d,firmware_version,cable_wear_indicator,voltage_instability_index,maintenance_type,next_maintenance_days
Location C,32.17,54,v2.0,0.39,1.11,No Maintenance Needed,340.04
Location D,33.16,75,v2.1,0.54,0.54,Connector Cleaning/Repair,26.92
Location A,32.44,59,v2.0,0.61,0.38,No Maintenance Needed,354.14
Location C,28.72,73,v1.2,0.15,2.56,Power Supply Unit Fault,4.08
Location C,26.42,60,v2.0,0.42,0.54,No Maintenance Needed,247.9
Location D,26.79,53,v2.1,0.34,1.3,No Maintenance Needed,282.03
Location A,26.44,62,v2.0,0.35,2.13,No Maintenance Needed,278.39
Location A,37.07,60,v1.1,0.09,1.08,Software Update/Reset,34.61
Location C,32.75,70,v1.2,0.16,0.74,Connector Cleaning/Repair,50.99
Location B,4.48,58,v2.0,0.16,0.49,No Maintenance Needed,270.66
Location C,33.25,63,v1.0,0.37,0.49,Software Update/Reset,39.37
Location C,29.56,73,v2.0,0.89,1.21,Cable Inspection/Replacement,10.15
Location C,27.85,64,v1.1,0.21,2.07,Software Update/Reset,37.01
Location C,24.89,74,v1.2,0.42,0.82,Connector Cleaning/Repair,20.37
Location D,36.99,48,v2.0,0.31,0.76,No Maintenance Needed,208.56
Location A,35.58,57,v1.2,0.79,1.42,No Maintenance Needed,338.82
Location D,21.82,62,v2.0,0.05,0.71,No Maintenance Needed,327.1
Location D,31.26,68,v1.2,0.2,1.15,No Maintenance Needed,238.32
Location D,20.23,65,v2.1,0.21,1.02,No Maintenance Needed,261.97
Location C,16.96,56,v1.1,0.99,0.81,Cable Inspection/Replacement,9.97
Location B,22.99,55,v1.0,0.57,0.99,Software Update/Reset,41.01
Location A,34.9,56,v2.0,0.14,2.41,Power Supply Unit Fault,5.57
Location B,35.63,57,v2.0,0.27,1.35,No Maintenance Needed,275.81
Location D,32.1,67,v1.1,0.17,1.73,Software Update/Reset,30.43
Location D,33.8,62,v2.1,0.12,0.63,No Maintenance Needed,349.71
Location B,32.13,63,v2.0,0.8,1.73,No Maintenance Needed,325.62
Location B,22.87,65,v2.1,0.5,1.38,No Maintenance Needed,222.04
Location B,31.46,70,v2.0,0.63,0.47,Connector Cleaning/Repair,41.54
Location D,34.4,47,v1.2,0.33,1.31,No Maintenance Needed,261.85
Location D,34.03,60,v1.2,0.55,0.77,No Maintenance Needed,344.08
Location A,37.51,59,v1.2,0.26,0.46,No Maintenance Needed,205.85
Location A,33.67,61,v2.0,0.31,1.07,No Maintenance Needed,276.48
Location D,30.81,63,v1.2,0.65,1.31,No Maintenance Needed,335.49
Location B,36.56,51,v1.0,0.15,1.08,Software Update/Reset,29.84
Location B,27.79,62,v1.1,0.62,0.95,Software Update/Reset,43.95
Location A,20.95,58,v1.1,0.85,0.85,Software Update/Reset,40.73
Location D,26.7,51,v2.0,0.12,3.43,Power Supply Unit Fault,3.79
Location A,22.04,62,v2.0,0.9,0.55,Cable Inspection/Replacement,12.17
Location A,22.6,57,v2.0,0.08,1.55,No Maintenance Needed,270.98
Location C,26.84,59,v2.1,0.35,1.01,No Maintenance Needed,344.85
Location C,21.66,55,v2.0,0.61,0.65,No Maintenance Needed,192.0
Location C,25.54,54,v2.1,0.56,0.98,No Maintenance Needed,293.55
Location B,12.85,55,v1.2,0.1,0.5,No Maintenance Needed,301.89
Location D,29.71,56,v1.1,0.8,0.74,Software Update/Reset,42.48
Location D,28.01,63,v1.2,0.97,0.98,Cable Inspection/Replacement,11.69
Location D,21.46,62,v1.2,0.18,0.46,No Maintenance Needed,350.62
Location D,33.27,54,v2.0,0.9,1.29,Cable Inspection/Replacement,5.75
Location C,35.5,59,v2.0,0.56,0.62,No Maintenance Needed,250.84
Location B,15.14,61,v1.1,0.94,0.48,Cable Inspection/Replacement,12.27
Location B,21.9,62,v2.0,0.18,0.58,No Maintenance Needed,223.3
Location C,21.85,62,v2.0,0.79,2.97,Power Supply Unit Fault,1.49
Location B,20.48,49,v1.1,0.06,0.37,Software Update/Reset,33.88
Location C,34.64,55,v2.0,0.88,1.24,No Maintenance Needed,345.95
Location D,26.45,58,v2.1,0.67,0.69,No Maintenance Needed,355.54
Location C,25.88,56,v2.0,0.37,0.84,No Maintenance Needed,282.28
Location D,11.97,63,v2.0,0.19,1.35,No Maintenance Needed,361.59
Location D,33.08,66,v1.2,0.82,1.32,No Maintenance Needed,181.22
Location A,18.09,63,v1.0,0.6,0.71,Software Update/Reset,33.44
Location C,28.48,57,v1.2,0.36,0.51,No Maintenance Needed,234.99
Location A,30.22,68,v2.0,0.44,1.36,No Maintenance Needed,218.9
Location C,38.89,54,v1.2,0.83,1.32,No Maintenance Needed,345.79
Location C,17.53,56,v1.1,0.34,0.87,Software Update/Reset,10.05
Location A,3.84,55,v2.1,0.09,1.25,No Maintenance Needed,338.03
Location A,29.47,49,v2.0,0.91,0.8,Cable Inspection/Replacement,7.26
Location C,42.4,73,v2.0,0.39,0.66,Connector Cleaning/Repair,25.04
Location B,37.91,65,v1.1,0.35,1.0,Software Update/Reset,20.41
Location D,29.68,63,v1.1,0.2,1.3,Software Update/Reset,22.52
Location A,24.07,55,v1.1,0.9,1.17,Cable Inspection/Replacement,18.07
Location D,34.46,60,v2.0,0.22,1.29,No Maintenance Needed,198.73
Location B,20.21,55,v1.1,0.64,0.68,Software Update/Reset,27.24
Location B,31.81,47,v2.0,0.88,2.21,No Maintenance Needed,220.04
Location B,32.04,54,v2.1,0.03,0.84,No Maintenance Needed,237.22
Location A,36.48,48,v1.2,0.83,0.94,No Maintenance Needed,350.46
Location B,50.08,55,v1.2,0.41,0.52,No Maintenance Needed,198.88
Location A,31.14,60,v2.0,0.66,0.91,No Maintenance Needed,191.17
Location B,23.93,60,v2.1,0.37,1.3,No Maintenance Needed,217.7
Location D,27.8,61,v2.0,0.7,1.46,No Maintenance Needed,196.63
Location D,13.85,56,v1.0,0.25,2.18,Software Update/Reset,28.56
Location C,22.44,57,v1.1,0.02,1.3,Software Update/Reset,39.11
Location D,24.73,59,v2.0,0.95,1.15,Cable Inspection/Replacement,19.96
Location C,23.81,49,v2.0,0.02,0.8,No Maintenance Needed,206.14
Location D,29.22,66,v1.1,0.82,0.72,Software Update/Reset,35.09
Location A,21.42,50,v2.0,0.17,1.62,No Maintenance Needed,266.55
Location D,36.97,59,v2.0,0.39,1.61,No Maintenance Needed,258.28
Location C,28.0,58,v1.1,0.82,0.58,Software Update/Reset,28.03
Location C,27.93,78,v2.0,0.21,1.44,Connector Cleaning/Repair,44.03
Location B,25.38,68,v1.0,0.87,1.38,Software Update/Reset,31.43
Location A,29.24,40,v2.0,0.5,0.57,No Maintenance Needed,255.69
Location D,34.6,70,v2.0,0.37,1.31,Connector Cleaning/Repair,47.96
Location B,21.06,53,v1.2,0.66,0.59,No Maintenance Needed,180.84
Location D,22.74,67,v2.0,0.34,0.3,No Maintenance Needed,288.33
Location D,25.57,60,v2.0,0.35,0.92,No Maintenance Needed,251.58
Location B,17.23,54,v2.1,0.73,1.14,No Maintenance Needed,203.66
Location B,21.45,71,v1.2,0.31,0.94,Connector Cleaning/Repair,27.33
Location B,24.19,58,v2.0,0.2,4.19,Power Supply Unit Fault,3.78
Location B,35.0,57,v2.0,0.81,1.21,No Maintenance Needed,206.67
